ticker,exchange,security_name,is_etf
A,NYSE,"Agilent Technologies, Inc. Common Stock",N
AA,NYSE,Alcoa Corporation Common Stock,N
AAA,NYSE Arca,Alternative Access First Priority CLO Bond ETF,Y
AAAC,NYSE Arca,Columbia AAA CLO ETF,Y
AACB,NASDAQ,Artius II Acquisition Inc. - Class A Ordinary Shares,N
AACBR,NASDAQ,Artius II Acquisition Inc. - Rights,N
AACBU,NASDAQ,Artius II Acquisition Inc. - Units,N
AACG,NASDAQ,"ATA Creativity Global - American Depositary Shares, each representing two common shares",N
AACI,NASDAQ,Armada Acquisition Corp. III - Class A Ordinary Share,N
AACIU,NASDAQ,Armada Acquisition Corp. III - Units,N
AACIW,NASDAQ,Armada Acquisition Corp. III - Warrant,N
AACO,NASDAQ,Abony Acquisition Corp. I - Class A Ordinary Share,N
AACOU,NASDAQ,Abony Acquisition Corp. I - Units,N
AACOW,NASDAQ,Abony Acquisition Corp. I - Warrants,N
AACPU,NASDAQ,Apogee Acquisition Corp - Units,N
AADR,NASDAQ,AdvisorShares Dorsey Wright ADR ETF,Y
AAEQ,NASDAQ,Alpha Architect US Equity 2 ETF,Y
AAL,NASDAQ,"American Airlines Group, Inc. - Common Stock",N
AALG,NASDAQ,Leverage Shares 2X Long AAL Daily ETF,Y
AAME,NASDAQ,Atlantic American Corporation - Common Stock,N
AAMI,NYSE,Acadian Asset Management Inc. Common Stock,N
AAOI,NASDAQ,"Applied Optoelectronics, Inc. - Common Stock",N
AAON,NASDAQ,"AAON, Inc. - Common Stock",N
AAP,NYSE,Advance Auto Parts Inc.,N
AAPB,NASDAQ,GraniteShares 2x Long AAPL Daily ETF,Y
AAPD,NASDAQ,Direxion Daily AAPL Bear 1X ETF,Y
AAPG,NASDAQ,Ascentage Pharma Group International - American Depository Shares,N
AAPL,NASDAQ,Apple Inc. - Common Stock,N
AAPU,NASDAQ,Direxion Daily AAPL Bull 2X ETF,Y
AARD,NASDAQ,"Aardvark Therapeutics, Inc. - Common Stock",N
AAT,NYSE,"American Assets Trust, Inc. Common Stock",N
AAUC,NYSE,Allied Gold Corporation Common Shares,N
AAUS,NASDAQ,Alpha Architect US Equity ETF,Y
AAVM,NASDAQ,Alpha Architect Global Factor Equity ETF,Y
AAXJ,NASDAQ,iShares MSCI All Country Asia ex Japan ETF,Y
AB,NYSE,AllianceBernstein Holding L.P.  Units,N
ABAT,NASDAQ,American Battery Technology Company - Common Stock,N
ABBV,NYSE,AbbVie Inc. Common Stock,N
ABCB,NYSE,Ameris Bancorp Common Stock,N
ABCL,NASDAQ,AbCellera Biologics Inc. - Common Shares,N
ABCS,NASDAQ,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Y
ABEO,NASDAQ,Abeona Therapeutics Inc. - Common Stock,N
ABEQ,NYSE Arca,Absolute Select Value ETF,Y
ABEV,NYSE,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N
ABG,NYSE,Asbury Automotive Group Inc Common Stock,N
ABI,NASDAQ,VictoryShares Pioneer Asset-Based Income ETF,Y
ABIG,NASDAQ,Argent Large Cap ETF,Y
ABLV,NASDAQ,Able View Global Inc. - Class B Ordinary Shares,N
ABLVW,NASDAQ,Able View Global Inc. - Warrant,N
ABM,NYSE,ABM Industries Incorporated Common Stock,N
ABNB,NASDAQ,"Airbnb, Inc. - Class A Common Stock",N
ABNG,NASDAQ,Leverage Shares 2x Long ABNB Daily ETF,Y
ABNY,NYSE Arca,YieldMax ABNB Option Income Strategy ETF,Y
ABOS,NASDAQ,"Acumen Pharmaceuticals, Inc. - Common Stock",N
ABR,NYSE,Arbor Realty Trust Common Stock,N
ABR$D,NYSE,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",N
ABR$E,NYSE,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,N
ABR$F,NYSE,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",N
ABSI,NASDAQ,Absci Corporation - Common Stock,N
